"","continent","year","avgLifeExp","avgGdpPercap","totalPop"
"1","Africa",1952,39.1355,1252.57246582115,237640501
"2","Africa",1957,41.2663461538462,1385.23606225577,264837738
"3","Africa",1962,43.3194423076923,1598.07882484615,296516865
"4","Africa",1967,45.3345384615385,2050.36380085769,335289489
"5","Africa",1972,47.4509423076923,2339.61567419808,379879541
"6","Africa",1977,49.5804230769231,2585.93850846346,433061021
"7","Africa",1982,51.5928653846154,2481.59295975385,499348587
"8","Africa",1987,53.3447884615385,2282.66899125962,574834110
"9","Africa",1992,53.6295769230769,2281.81033324423,659081517
"10","Africa",1997,53.5982692307692,2378.75955510192,743832984
"11","Africa",2002,53.3252307692308,2599.38515889038,833723916
"12","Africa",2007,54.8060384615385,3089.03260473654,929539692
"13","Americas",1952,53.27984,4079.0625522,345152446
"14","Americas",1957,55.96028,4616.04373316,386953916
"15","Americas",1962,58.39876,4901.5418704,433270254
"16","Americas",1967,60.41092,5668.25349604,480746623
"17","Americas",1972,62.39492,6491.33413904,529384210
"18","Americas",1977,64.39156,7352.00712628,578067699
"19","Americas",1982,66.22884,7506.73708808,630290920
"20","Americas",1987,68.09072,7793.40026112,682753971
"21","Americas",1992,69.56836,8044.93440552,739274104
"22","Americas",1997,71.15048,8889.30086256,796900410
"23","Americas",2002,72.42204,9287.67710732,849772762
"24","Americas",2007,73.60812,11003.03162536,898871184
"25","Asia",1952,46.3143939393939,5195.48400403939,1395357351
"26","Asia",1957,49.3185442424242,5787.73293994242,1562780599
"27","Asia",1962,51.563223030303,5729.36962477576,1696357182
"28","Asia",1967,54.66364,5971.17337360606,1905662900
"29","Asia",1972,57.3192690909091,8187.46869944848,2150972248
"30","Asia",1977,59.6105563636364,7791.3140199303,2384513556
"31","Asia",1982,62.6179393939394,7434.13515748485,2610135582
"32","Asia",1987,64.8511818181818,7608.2265077303,2871220762
"33","Asia",1992,66.5372121212121,8639.6902477303,3133292191
"34","Asia",1997,68.0205151515152,9834.09329524849,3383285500
"35","Asia",2002,69.2338787878788,10174.0903965788,3601802203
"36","Asia",2007,70.7284848484849,12473.0268701333,3811953827
"37","Europe",1952,64.4085,5661.05743476,418120846
"38","Europe",1957,66.7030666666667,6963.01281593333,437890351
"39","Europe",1962,68.5392333333333,8365.4868143,460355155
"40","Europe",1967,69.7376,10143.8237565333,481178958
"41","Europe",1972,70.7750333333333,12479.5752464667,500635059
"42","Europe",1977,71.9377666666667,14283.9791096,517164531
"43","Europe",1982,72.8064,15617.8965512333,531266901
"44","Europe",1987,73.6421666666667,17214.3107266333,543094160
"45","Europe",1992,74.4401,17061.5680842,558142797
"46","Europe",1997,75.5051666666667,19076.7818016,568944148
"47","Europe",2002,76.7006,21711.7324224333,578223869
"48","Europe",2007,77.6486,25054.4816359333,586098529
"49","Oceania",1952,69.255,10298.08565,10686006
"50","Oceania",1957,70.295,11598.522455,11941976
"51","Oceania",1962,71.085,12696.45243,13283518
"52","Oceania",1967,71.31,14495.02179,14600414
"53","Oceania",1972,71.91,16417.33338,16106100
"54","Oceania",1977,72.855,17283.957605,17239000
"55","Oceania",1982,74.29,18554.70984,18394850
"56","Oceania",1987,75.32,20448.04016,19574415
"57","Oceania",1992,76.945,20894.045885,20919651
"58","Oceania",1997,78.19,24024.17517,22241430
"59","Oceania",2002,79.74,26938.77804,23454829
"60","Oceania",2007,80.7195,29810.188275,24549947
